country,continent,total,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,16852282.492629003,1952,28.801,8425333,779.4453145
Afghanistan,Asia,18483570.3700592,1957,30.331999999999997,9240934,820.8530296
Afghanistan,Asia,20535936.19542,1962,31.997,10267083,853.1007099999999
Afghanistan,Asia,23077672.4342764,1967,34.02,11537966,836.1971382
Afghanistan,Asia,26160472.1382116,1972,36.088,13079460,739.9811057999999
Afghanistan,Asia,29762393.10272,1977,38.438,14880372,786.11336
Afghanistan,Asia,25765667.7308776,1982,39.854,12881816,978.0114388000001
Afghanistan,Asia,27737700.4358896,1987,40.821999999999996,13867957,852.3959447999999
Afghanistan,Asia,32637224.0307904,1992,41.674,16317921,649.3413952000001
Afghanistan,Asia,44456184.208702,1997,41.763000000000005,22227415,635.341351
Afghanistan,Asia,50538347.7261096,2002,42.129,25268405,726.7340548
Afghanistan,Asia,63781882.8166768,2007,43.828,31889923,974.5803384
Albania,Europe,2568706.572272,1952,55.23,1282697,1601.056136
Albania,Europe,2957013.128488,1957,59.28,1476505,1942.2842440000002
Albania,Europe,3461029.4179160004,1962,64.82,1728137,2312.888958
Albania,Europe,3973772.833862,1967,66.22,1984060,2760.196931
Albania,Europe,4533870.2243759995,1972,67.69,2263554,3313.422188
Albania,Europe,5025299.86782,1977,68.93,2509048,3533.0039100000004
Albania,Europe,5567596.601443999,1982,70.42,2780097,3630.880722
Albania,Europe,6158263.86547,1987,72.0,3075321,3738.9327350000003
Albania,Europe,6658134.037802,1992,71.581,3326498,2497.4379010000002
Albania,Europe,6862608.009208,1997,72.95,3428038,3193.054604
Albania,Europe,7026383.725474,2002,75.65100000000001,3508512,4604.211737
Albania,Europe,7213072.905052,2007,76.423,3600523,5937.029525999999
Algeria,Africa,18564034.170369998,1952,43.077,9279525,2449.008185
Algeria,Africa,20547831.322046,1957,45.685,10270856,3013.976023
Algeria,Africa,22007094.23976,1962,48.303000000000004,11000948,2550.81688
Algeria,Africa,25527594.797542,1967,51.407,12760499,3246.991771
Algeria,Africa,29530048.363532,1972,54.518,14760787,4182.663766
Algeria,Africa,34315544.861512,1977,58.013999999999996,17152804,4910.4167560000005
Algeria,Africa,40079119.056426,1982,61.368,20033753,5745.160213
Algeria,Africa,46521406.315078,1987,65.79899999999999,23254956,5681.358539
Algeria,Africa,52606927.921293996,1992,67.744,26298373,5023.216647
Algeria,Africa,58153762.894102,1997,69.152,29072015,4797.295051
Algeria,Africa,62585002.068764,2002,70.994,31287142,5288.040382
Algeria,Africa,66679023.33693,2007,72.301,33333216,6223.367465
Angola,Africa,8471291.250545999,1952,30.015,4232095,3520.610273
Angola,Africa,9130441.87893,1957,31.999000000000002,4561361,3827.9404649999997
Angola,Africa,9660636.553484,1962,34.0,4826015,4269.276742
Angola,Africa,10506055.522750001,1967,35.985,5247469,5522.776375
Angola,Africa,11800738.43201,1972,37.928000000000004,5894858,5473.288004999999
Angola,Africa,12331446.26071,1977,39.483000000000004,6162675,3008.647355
Angola,Africa,14038361.791344,1982,39.942,7016384,2756.953672
Angola,Africa,15753400.228622,1987,39.906,7874230,2430.208311
Angola,Africa,17477312.98537,1992,40.647,8735988,2627.8456850000002
Angola,Africa,19754684.207768,1997,40.963,9875024,2277.140884
Angola,Africa,21737840.580624,2002,41.003,10866106,2773.287312
Angola,Africa,24850631.924534,2007,42.731,12420476,4797.231267
Argentina,Americas,35765859.600106,1952,62.485,17876956,5911.315053
Argentina,Americas,39234918.510424,1957,64.399,19610538,6856.856212000001
Argentina,Americas,42581962.616046004,1962,65.142,21283783,7133.166023000001
Argentina,Americas,45884687.174042,1967,65.634,22934225,8052.953020999999
Argentina,Americas,49578618.207052,1972,67.065,24779799,9443.038526
Argentina,Americas,53987951.01548,1977,68.48100000000001,26983828,10079.026740000001
Argentina,Americas,58700883.678824,1982,69.942,29341374,8997.897412
Argentina,Americas,63260256.890778,1987,70.774,31620918,9139.671389
Argentina,Americas,67936654.57342,1992,71.868,33958947,9308.41871
Argentina,Americas,72429007.11389999,1997,73.275,36203463,10967.28195
Argentina,Americas,76679985.96143201,2002,74.34,38331121,8797.640716
Argentina,Americas,80629563.39928,2007,75.32,40301927,12779.379640000001
Australia,Oceania,17402641.43128,1952,69.12,8691212,10039.595640000001
Australia,Oceania,19447177.95918,1957,70.33,9712569,10949.64959
